ING; №   Накл.;Дата продажи; №  п/п;Артикул+Название;Кол-во;Фирма;Витр;Work;Метка;Учет;Ost_Old;Ost_New;Baza_Old;;;Baza_new;;
4027;15659;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4089;15659;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4172;15659;17.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4137;15659;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4070;15659;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4214;15659;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4809;15659;17.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4209;15659;17.01.2019;;;60;D+Z;;;бн;;;;;;;;;
1929;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
480;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
2296;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
3006;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
3008;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
3009;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
2428;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
367;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4054;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4055;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4180;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4182;15666;18.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4183;15666;18.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4210;15666;18.01.2019;;;10;D+Z;;;бн;;;;;;;;;
4004;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4092;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4079;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4057;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4032;15666;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
4225;15667;18.01.2019;;;5;D+Z;;;бн;;;;;;;;;
