,balance,consumption
529,5659.2570037048545,5699
530,5737.447406690203,5777
531,5915.722843495989,5872
532,6023.321119053524,5920
533,5794.642990548481,5892
534,6019.342472683728,5817
535,5668.974445281641,5759
536,5854.757696742017,5769
537,5849.80908651666,5847
538,6100.55068576563,5942
539,5968.19734980588,5990
540,6013.514968416016,5962
541,5849.799822489559,5887
542,5857.537505540179,5829
543,5917.294770355088,5839
544,5938.541289599694,5917
545,5988.830717626872,6012
546,6040.670607311954,6060
547,5924.971038081372,6032
548,5946.889127769108,5957
549,5838.5426453940245,5899
550,5942.4095151003285,5909
551,6040.686131423133,5987
552,6086.835510797103,6082
553,6149.121270463929,6130
554,6137.18518508826,6102
555,6212.260953118743,6027
556,5903.002426264333,5969
557,5758.058284423788,5979
558,6121.709431388973,6057
559,6247.41977909875,6152
560,6363.888651248658,6200
561,5915.473729375233,6172
562,6023.010037617672,6097
563,6001.026010846649,6039
564,5997.395374385427,6049
565,6202.8567705099695,6127
566,6272.358566137199,6222
567,6271.913507404434,6270
568,6323.000385585997,6242
569,6122.969716839356,6167
570,6174.441468062421,6109
571,6149.0480480589795,6119
572,6145.822564442204,6197
573,6305.687369830361,6292
574,6433.427802095885,6340
575,6005.4172709685345,6312
576,6188.608848342434,6237
577,6224.773391940542,6179
578,6123.74637870057,6189
579,6146.27819374631,6267
580,6133.456506236685,6362
581,6427.405931721959,6410
582,6428.708488681698,6382
583,6244.956998769524,6307
584,6146.664053014435,6249
585,6245.19061668066,6259
586,6405.389345517701,6337
587,6607.306973255422,6432
588,6173.411712729992,6480
589,6251.930201241447,6452
590,6347.070506345547,6377
591,6290.043194771837,6319
592,6327.822195412302,6329
593,6239.980618472472,6407
594,6586.26521375842,6502
595,6574.05313849618,6550
596,6530.338917975535,6522
597,6326.564625682238,6447
598,6310.716813080796,6389
599,6481.950311100469,6399
600,6516.730617410239,6477
601,6600.637839179754,6572
602,6588.522560997903,6620
603,6653.281595430236,6592
604,6495.728666619984,6517
605,6494.400520854017,6459
606,6356.090499269084,6469
607,6472.123880818562,6547
608,6544.925977409124,6642
609,6578.623589285731,6690
610,6654.680298143524,6662
611,6589.258817261314,6587
612,6494.243393731429,6529
613,6391.0762967921455,6539
614,6744.5117278547195,6617
615,6726.669647263007,6712
616,6830.96536552818,6760
617,6672.452976041651,6732
618,6685.566485772197,6657
619,6702.05633035033,6599
620,6759.110323667073,6609
621,6594.492001798184,6687
622,6850.998029771414,6782
623,6770.0188436100125,6830
624,6915.9675376309315,6802
625,6736.0289527872765,6727
626,6670.186075833644,6669
627,6625.705155790456,6679
628,6888.639670615752,6757
629,6737.113803432858,6852
630,6864.761997047328,6900
631,6823.360770288974,6872
632,6873.907426474922,6797
633,6837.996397739578,6739
634,6860.679038461881,6749
635,6623.311428764536,6827
636,6799.22883991832,6922
637,6893.135700610638,6970
638,7113.735354243382,6942
639,6751.894252602555,6867
640,6800.97713884403,6809
641,6841.355227381715,6819
642,6890.584831482342,6897
643,6847.129646944575,6992
644,7022.309084522169,7040
645,7039.835884051454,7012
646,6951.805758864703,6937
647,6999.164987488499,6879
648,6845.179452584092,6889
649,6830.085471861055,6967
650,7005.680620639088,7062
651,7168.895868648343,7110
652,7013.724926934293,7082
653,6994.481938682014,7007
654,7154.5627781380645,6949
655,7058.870595999689,6959
656,6994.363978818119,7037
657,7312.272608268852,7132
658,7348.291471985985,7180
659,7142.017460134382,7152
660,7129.42677017507,7077
661,7113.025191872546,7019
662,6914.996686273034,7029
663,7026.64891032314,7107
664,7146.64082399386,7202
665,7205.088272765893,7250
666,7253.303674964499,7222
667,7176.371488000055,7147
668,7266.963759102106,7089
669,7256.775144625045,7099
670,7276.070570629697,7177
671,7134.396212923346,7272
672,7457.953940851633,7320
673,7382.52654210751,7292
674,7194.80060944739,7217
675,7058.268724434183,7159
676,7177.679632909452,7169
677,7102.207654310961,7247
678,7399.424845688451,7342
679,7399.7690375653565,7390
680,7538.433377019747,7362
681,7160.606745488331,7287
682,7230.050719649803,7229
683,7345.640883094434,7239
684,7186.744624997515,7317
685,7602.020438585113,7412
686,7323.844780274908,7460
687,7414.701244195803,7432
688,7232.227492264108,7357
689,7196.278617204936,7299
690,7145.3277631197225,7309
691,7322.768909928742,7387
692,7476.724841616711,7482
693,7518.572421155889,7530
694,7528.330208068153,7502
695,7370.4002375104155,7427
696,7218.045957633685,7369
697,7396.6838245311355,7379
698,7457.622623043268,7457
699,7548.507834079646,7552
700,7605.847455282829,7600
701,7564.929469273503,7572
702,7376.627452799412,7497
703,7517.832080614365,7439
704,7286.585800883331,7449
705,7513.645453235219,7527
706,7815.927982902803,7622
707,7768.2296423369735,7670
708,7675.180350914346,7642
709,7658.328223289226,7567
710,7333.721754024509,7509
711,7407.081094254731,7519
712,7660.460248140342,7597
713,7545.831917842751,7692
714,7824.065566200448,7740
715,7707.806517668849,7712
716,7548.848633010666,7637
717,7624.323159450666,7579
718,7426.985765064244,7589
719,7617.5503286386465,7667
720,7770.537575825735,7762
721,7697.005132588576,7810
722,7914.267818781742,7782
723,7708.537831438812,7707
724,7552.044402501722,7649
725,7704.1164384681915,7659
726,7713.184840059964,7737
727,7922.580204953833,7832
728,7960.8445480897535,7880
729,7874.058874224671,7852
730,7841.331494069465,7777
731,7985.128558087182,7719
732,7782.056623549742,7729
733,7963.019717635357,7807
734,7962.400427248492,7902
735,8049.543765391173,7950
736,7852.610266857508,7922
737,7821.774098201112,7847
738,7751.098613202913,7789
739,7707.394251207096,7799
740,7829.289628304587,7877
741,7893.3982041472655,7972
742,8035.801404739216,8020
743,7901.275192200078,7992
744,7837.998056234376,7917
745,7884.889623149503,7859
746,7809.489145100652,7869
747,7950.744471164103,7947
748,8287.01142998446,8042
749,8087.93798813135,8090
750,7942.094952029222,8062
751,8099.73566718873,7987
752,8127.659815496475,7929
753,7960.035555597933,7939
754,8044.627949594305,8017
755,8050.337703679463,8112
756,8219.461124609046,8160
757,7933.793365545843,8132
758,7879.461468948374,8057
759,7896.218220036238,7999
760,8174.902493513222,8009
761,8350.287644315315,8087
762,8119.830780108923,8182
763,8236.64433890905,8230
764,8063.239819269823,8202
765,8198.506374167022,8127
766,8051.772446606896,8069
767,8079.107266702656,8079
768,8342.607916581088,8157
769,8389.355120878145,8252
770,8295.722376405382,8300
771,8065.847623581837,8272
772,8120.713116608559,8197
773,8196.395230816293,8139
774,8083.410307179529,8149
775,8004.233738639841,8227
776,8192.420966609414,8322
777,8381.666315492657,8370
778,8327.793948909579,8342
779,8281.468104227753,8267
780,8211.447740623442,8209
781,8196.108551481075,8219
782,8202.992041097847,8297
783,8300.19806403297,8392
784,8422.390335312388,8440
785,8359.954008520614,8412
786,8323.6013003142,8337
787,8349.329003802643,8279
788,8410.860575628143,8289
789,8353.550693645848,8367
790,8499.2789751849,8462
791,8628.950487677545,8510
792,8460.093641554622,8482
793,8468.848052304893,8407
794,8195.907154821905,8349
795,8277.761389278656,8359
796,8553.629411952134,8437
797,8589.047086745073,8532
798,8679.103433840102,8580
799,8610.994705480505,8552
800,8405.879455112205,8477
801,8431.132557400893,8419
802,8414.198235845364,8429
803,8343.039734177004,8507
804,8368.960348530692,8602
805,8509.950455266548,8650
806,8803.590074963578,8622
807,8515.14723511277,8547
808,8428.746548925357,8489
809,8537.716916276917,8499
810,8485.011589632011,8577
811,8774.730963954074,8672
812,8564.443192265018,8720
813,8706.543759072612,8692
814,8729.43721073338,8617
815,8533.528392228798,8559
816,8652.917365988083,8569
817,8652.366006979353,8647
818,8733.563220494578,8742
819,8904.000156059097,8790
820,8747.562906749708,8762
821,8602.316453128939,8687
822,8646.919441167252,8629
823,8685.011885592057,8639
824,8741.214912430702,8717
825,8874.128974027752,8812
826,8909.002769965331,8860
827,8727.940938734093,8832
828,8791.431393768742,8757
829,8687.093775206216,8699
830,8692.44834865845,8709
831,8811.716362436193,8787
832,8686.513949053158,8882
833,8913.824833929319,8930
834,9056.30218789591,8902
835,8818.845547586427,8827
836,8787.107785065738,8769
837,8640.764225561023,8779
838,8893.199422900889,8857
839,8984.22050280385,8952
840,9072.901620430084,9000
841,8905.039089894677,8972
842,9053.79966467329,8897
843,8723.686268838743,8839
844,8823.100956503582,8849
845,8825.234428455506,8927
846,9051.938265217315,9022
847,9185.14169117642,9070
848,9190.228895132364,9042
849,8984.700800959517,8967
850,8959.862400725942,8909
851,9084.010356061739,8919
852,8926.140601107778,8997
853,8915.968613544317,9092
854,9073.52650941358,9140
855,9254.318146320556,9112
856,9045.31976009524,9037
857,8837.878701969008,8979
858,9064.706581830882,8989
859,9103.004937171072,9067
860,9181.995674196576,9162
861,9228.496152536743,9210
862,9051.921244305546,9182
863,9184.917653979326,9107
864,9016.945411671564,9049
865,8907.126503197063,9059
866,9226.20760533647,9137
867,9451.725474300332,9232
868,9507.092040928259,9280
869,9104.77111714105,9252
870,9117.90116718729,9177
871,9035.352948803433,9119
872,9188.361473918452,9129
873,8986.00484574317,9207
874,9321.943156792848,9302
875,9323.721716901575,9350
876,9407.708795306828,9322
877,9288.917511846465,9247
878,9042.251223690526,9189
879,9095.002522502393,9199
880,9377.540430113013,9277
881,9347.240135197271,9372
882,9562.494869678432,9420
883,9515.518607024853,9392
884,9272.1281255751,9317
885,9207.637623582907,9259
886,9259.839714803842,9269
887,9352.752433282993,9347
888,9448.732843897968,9442
889,9456.045126522513,9490
890,9480.758198342768,9462
891,9407.435665940293,9387
892,9225.893673991188,9329
893,9383.440170284994,9339
894,9310.31732856449,9417
